Header,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation
21.315,-3.60878139,-0.91751776,107.20813766,0.41869789,0.92993505,-4.65909401,32.57944884,-11.21635307,-16.67697225,-19.76231766,5.89047159,-1.81794252,0,-21.83422416,3.47268109,4.80430898,-16.46635576,9.2387002,5.18574907,0,0,0,0
21.32,-3.26827055,-0.97580476,107.18248603,0.41781338,0.92869391,-4.6693218,32.8483715,-10.86317105,-16.21736601,-20.88802026,5.39332659,-2.56020174,0,-21.37409101,3.04033585,4.4158027,-18.00584752,8.39899953,5.61199586,0,0,0,0
21.325,-2.91572505,-1.02934671,107.12944028,0.41695634,0.92756448,-4.67953624,33.11267027,-10.48257413,-15.76665566,-22.04542479,4.93589287,-3.24640398,0,-20.85000512,2.60172499,3.96250315,-19.62976902,7.439282,6.01608181,0,0,0,0
21.33,-2.55913932,-1.0704499,107.05052077,0.41611962,0.92656536,-4.68971628,33.36459015,-10.08448609,-15.3385827,-23.23406113,4.54571918,-3.84460783,0,-20.27081392,2.16167893,3.45447308,-21.33379537,6.36176463,6.36307141,0,0,0,0
21.335,-2.19869347,-1.09765095,106.95023234,0.41530291,0.9257081,-4.69987105,33.59053575,-9.6664875,-14.93267528,-24.43164474,4.25474004,-4.35908443,0,-19.64046098,1.71503922,2.90073609,-23.11027879,5.16965832,6.64624016,0,0,0,0
21.34,-1.83844649,-1.10611062,106.82707998,0.4144896,0.92499484,-4.70998178,33.78379055,-9.23391079,-14.55891611,-25.62997932,4.07213152,-4.78525823,0,-18.96545295,1.26521609,2.30856025,-24.95683783,3.88195945,6.84405586,0,0,0,0
21.345,-1.49203661,-1.11454962,106.69338822,0.41366774,0.92441134,-4.72002846,33.95402876,-8.81202167,-14.2215867,-26.81975513,4.04686781,-5.08712401,0,-18.22683306,0.83182127,1.72499253,-26.87466236,2.51560424,6.90505664,0,0,0,0
21.35,-1.1266089,-1.06941859,106.52963327,0.41289239,0.92403405,-4.73004728,34.03297666,-8.33236733,-13.91528944,-27.9499816,4.08334853,-5.37207958,0,-17.47986052,0.35085853,1.04872867,-28.84492887,1.08454647,6.90122255,0,0,0,0
21.355,-0.78816789,-1.04224455,106.36693309,0.41207523,0.9237661,-4.73996852,34.09675803,-7.89576025,-13.67052588,-29.05478646,4.29412949,-5.49831103,0,-16.6572576,-0.09033907,0.43835056,-30.87441489,-0.3740941,6.68633994,0,0,0,0
21.36,-0.43704678,-0.9865324,106.19536075,0.41128157,0.92367757,-4.74982643,34.08039511,-7.42659438,-13.467103,-30.07554199,4.59254934,-5.59901442,0,-15.79967393,-0.5652707,-0.19864607,-32.954077,-1.83695031,6.34840695,0,0,0,0
21.365,-0.08882067,-0.91982611,106.02243903,0.41048233,0.92374021,-4.75959426,34.00076051,-6.95531144,-13.31133316,-31.01604119,4.9952166,-5.64041728,0,-14.89491151,-1.04450623,-0.81335834,-35.07667214,-3.27454583,5.83305195,0,0,0,0
21.37,0.25593245,-0.85109422,105.85431477,0.40967361,0.92394136,-4.76926022,33.8641482,-6.4883444,-13.20408522,-31.86861581,5.48896448,-5.62975834,0,-13.93499994,-1.52423126,-1.39362994,-37.23528858,-4.65372418,5.13584761,0,0,0,0
21.375,0.5980901,-0.78618897,105.69567489,0.40885372,0.92427213,-4.77881097,33.67690878,-6.02883694,-13.14491654,-32.62981102,6.05574547,-5.57760921,0,-12.91571671,-2.00206106,-1.93074964,-39.41986892,-5.94650334,4.25379552,0,0,0,0
21.38,0.93506442,-0.72884635,105.54970189,0.40801383,0.92472348,-4.78824167,33.44093598,-5.5813971,-13.12888158,-33.29459439,6.68036358,-5.49203816,0,-11.83718754,-2.47097262,-2.41709355,-41.61907082,-7.12821982,3.18802437,0,0,0,0
21.385,1.26637489,-0.68040194,105.41960345,0.40714819,0.92529083,-4.79754566,33.15887845,-5.14885555,-13.15646654,-33.86225103,7.34740567,-5.37938992,0,-10.70181913,-2.92706774,-2.84867944,-43.81928928,-8.17587357,1.94630847,0,0,0,0
21.39,1.58807405,-0.64318562,105.30704271,0.4062483,0.92597163,-4.80671834,32.83397962,-4.73489078,-13.21609436,-34.33299938,8.04276354,-5.24465291,0,-9.51223946,-3.36118932,-3.22154691,-46.00602828,-9.07189201,0.5448894,0,0,0,0
21.395,1.89962213,-0.61590505,105.21083144,0.40531179,0.92676273,-4.81576458,32.46718962,-4.33933523,-13.30672889,-34.70873161,8.7501948,-5.09531287,0,-8.27534052,-3.77032489,-3.54099053,-48.1642077,-9.80238624,-0.99621681,0,0,0,0
21.4,2.19790853,-0.59906014,105.13035759,0.40433293,0.92766427,-4.82468575,32.060895,-3.96385218,-13.41982203,-34.99156806,9.45787179,-4.93565128,0,-6.99640404,-4.1467283,-3.80748308,-50.27879044,-10.35873603,-2.65171828,0,0,0,0
21.405,2.47635834,-0.59522695,105.05306211,0.40331052,0.9286668,-4.83348246,31.62427173,-3.61150263,-13.54069227,-35.19097314,10.1525383,-4.75335899,0,-5.68227257,-4.47735881,-4.03671597,-52.3342248,-10.73213828,-4.39635722,0,0,0,0
21.41,2.7419578,-0.59231593,105.00727056,0.40223053,0.92979891,-4.84217428,31.13499731,-3.27752593,-13.68328982,-35.29362777,10.83227072,-4.59888689,0,-4.34211863,-4.77352574,-4.19644922,-54.31985646,-10.93853806,-6.18225324,0,0,0,0
21.415,2.98343948,-0.59962972,104.96237192,0.40109845,0.93103605,-4.85075525,30.61606608,-2.96750705,-13.82258681,-35.31862979,11.47859722,-4.43465257,0,-2.98041696,-5.01426466,-4.32495912,-56.2203417,-10.97591562,-7.98836645,0,0,0,0
21.42,3.20054148,-0.61148206,104.91805436,0.39991971,0.93238363,-4.85923833,30.0627371,-2.67857336,-13.95566376,-35.26892885,12.08987679,-4.26204675,0,-1.60762373,-5.20083253,-4.42513275,-58.0244895,-10.86004344,-9.77420097,0,0,0,0
21.425,3.39471162,-0.62307605,104.89079129,0.39867781,0.93385489,-4.86763776,29.4639827,-2.4096275,-14.08363497,-35.13660643,12.6670267,-4.12085265,0,-0.22916862,-5.33422101,-4.47704274,-59.72309733,-10.61340709,-11.49742107,0,0,0,0
21.43,3.56396973,-0.63327244,104.86094614,0.39738609,0.93542643,-4.87595864,28.83166051,-2.16148873,-14.20691285,-34.94312648,13.19794715,-3.98745327,0,1.14565697,-5.41605829,-4.51468777,-61.30958842,-10.24868625,-13.13490013,0,0,0,0
21.435,3.70322151,-0.65396817,104.82169866,0.39603836,0.93710377,-4.88420584,28.1718328,-1.93376246,-14.2938044,-34.67541869,13.68594075,-3.84220148,0,2.52006773,-5.43062517,-4.53558181,-62.76911031,-9.7888177,-14.65565242,0,0,0,0
21.44,3.81847229,-0.66864396,104.78283765,0.39463484,0.93888137,-4.89239708,27.47255861,-1.72449746,-14.37338952,-34.34630973,14.12608164,-3.71494073,0,3.8773102,-5.39571568,-4.54040318,-64.10158026,-9.24469725,-16.0318843,0,0,0,0
21.445,3.90772332,-0.68092134,104.73330378,0.39318624,0.94074296,-4.90053872,26.74209276,-1.53202887,-14.43023149,-33.9626515,14.52777384,-3.59212332,0,5.2143695,-5.31123959,-4.54462806,-65.30160486,-8.6341836,-17.24052904,0,0,0,0
21.45,3.9738526,-0.69095617,104.67551671,0.39168407,0.94268055,-4.90863993,25.98082521,-1.35642131,-14.46963789,-33.52548946,14.88596456,-3.4754,0,6.5286906,-5.18102619,-4.5476106,-66.36613879,-7.97030589,-18.27101156,0,0,0,0
21.455,4.02750211,-0.67453477,104.60914219,0.3901431,0.94471465,-4.91673689,25.15793421,-1.17803646,-14.49731999,-33.02278754,15.2091274,-3.35567065,0,7.79099119,-5.03150938,-4.55450967,-67.29112646,-7.26404354,-19.09565584,0,0,0,0
21.46,4.04611266,-0.68301429,104.52756516,0.38854421,0.94675933,-4.92477258,24.34771643,-1.04057834,-14.50224273,-32.4972977,15.48894865,-3.24491849,0,9.05019473,-4.81661742,-4.57100106,-68.07880037,-6.51867907,-19.74840623,0,0,0,0
21.465,4.04669478,-0.68630636,104.43191274,0.38690113,0.94884349,-4.93279913,23.50855181,-0.91626564,-14.4946347,-31.92784918,15.73436546,-3.13151191,0,10.27176779,-4.57522983,-4.60398232,-68.72630346,-5.74615781,-20.20639331,0,0,0,0
21.47,4.03673171,-0.6879645,104.32513044,0.38522175,0.9509458,-4.94081232,22.64861037,-0.80115552,-14.48309314,-31.31902761,15.9452635,-3.01511326,0,11.46200703,-4.31768883,-4.65114063,-69.2382554,-4.94960415,-20.47363219,0,0,0,0
21.475,4.01547044,-0.68516096,104.20434198,0.38351246,0.9530561,-4.94882256,21.76646355,-0.69471425,-14.4654754,-30.67460254,16.12233151,-2.89599549,0,12.61332966,-4.04911745,-4.71833987,-69.61481505,-4.12871661,-20.54658134,0,0,0,0
21.48,3.98400263,-0.6759015,104.07120084,0.38177339,0.95516587,-4.95683458,20.8610316,-0.59731438,-14.44462992,-29.99713704,16.27531958,-2.76812105,0,13.72107869,-3.77178104,-4.80229668,-69.85547366,-3.29795764,-20.45740036,0,0,0,0
21.485,3.94252679,-0.66296272,103.92454101,0.3800114,0.95725771,-4.96484971,19.9380447,-0.51077646,-14.42618608,-29.29207377,16.40148297,-2.63252743,0,14.78721662,-3.49007165,-4.90867566,-69.96357765,-2.4657276,-20.22503379,0,0,0,0
21.49,3.895973,-0.64755506,103.76593897,0.37822832,0.95932046,-4.97287163,19.00079271,-0.4317644,-14.41361314,-28.56159906,16.50268675,-2.48728695,0,15.81215975,-3.20880005,-5.03347915,-69.94062842,-1.63844273,-19.87791543,0,0,0,0
21.495,3.84798221,-0.62755052,103.59616756,0.37643566,0.96134372,-4.98090345,18.04855266,-0.35592631,-14.41029351,-27.80655449,16.57918224,-2.33071219,0,16.79431853,-2.93698656,-5.17683892,-69.79093978,-0.82408226,-19.43155867,0,0,0,0
21.5,3.79994545,-0.60600829,103.4168716,0.37463476,0.96331295,-4.98894813,17.08696632,-0.28427311,-14.42064843,-27.03222907,16.63603389,-2.15975018,0,17.73559964,-2.67443067,-5.33463435,-69.51634883,-0.03097492,-18.92050233,0,0,0,0
21.505,3.75418292,-0.58157603,103.22736085,0.37282924,0.96522044,-4.997008,16.11657006,-0.21428989,-14.44522307,-26.24139998,16.67382101,-1.97270744,0,18.63417781,-2.42593035,-5.50783132,-69.119931,0.73456558,-18.3684068,0,0,0,0
21.51,3.71289716,-0.5517057,103.02724356,0.37102913,0.96705878,-5.00508358,15.13731911,-0.14275876,-14.48582411,-25.437719,16.69350614,-1.76915699,0,19.48697598,-2.1966071,-5.69670552,-68.60490012,1.47025112,-17.7972497,0,0,0,0
