Header,HeelStrike,ToeOff
15.12,58.9641434262948,28.9885297184567
15.125,59.3625498007968,29.0928050052138
15.13,59.7609561752988,29.1970802919708
15.135,60.1593625498008,29.3013555787278
15.14,60.5577689243028,29.4056308654849
15.145,60.9561752988048,29.5099061522419
15.15,61.3545816733068,29.614181438999
15.155,61.7529880478088,29.718456725756
15.16,62.1513944223108,29.822732012513
15.165,62.5498007968127,29.9270072992701
15.17,62.9482071713147,30.0312825860271
15.175,63.3466135458167,30.1355578727842
15.18,63.7450199203187,30.2398331595412
15.185,64.1434262948207,30.3441084462982
15.19,64.5418326693227,30.4483837330553
15.195,64.9402390438247,30.5526590198123
15.2,65.3386454183267,30.6569343065693
15.205,65.7370517928287,30.7612095933264
15.21,66.1354581673307,30.8654848800834
15.215,66.5338645418327,30.9697601668405
