Time,IMU_SHIN_L_YAW,IMU_SHIN_L_PITCH,IMU_SHIN_L_ROLL,IMU_SHIN_R_YAW,IMU_SHIN_R_PITCH,IMU_SHIN_R_ROLL,
11.74,0.00,0.03,-4.75,0.00,-0.13,-1.92,
11.75,0.00,0.03,-4.75,0.00,-0.13,-1.92,
11.76,0.00,0.03,-4.75,0.00,-0.13,-1.92,
11.77,0.00,0.03,-4.75,0.00,-0.13,-1.92,
11.78,0.00,0.03,-4.75,0.00,-0.13,-1.92,
11.79,0.00,0.03,-4.75,0.00,-0.13,-1.92,
11.80,0.00,0.03,-4.75,0.00,-0.13,-1.92,
11.81,0.00,0.03,-4.75,0.00,-0.13,-1.92,
11.82,0.00,0.03,-4.75,0.00,-0.12,-1.92,
11.83,0.00,0.03,-4.75,0.00,-0.12,-1.92,
11.84,0.00,0.03,-4.75,0.00,-0.12,-1.92,
11.85,0.00,0.03,-4.75,0.00,-0.12,-1.92,
11.86,0.00,0.03,-4.75,0.00,-0.12,-1.92,
11.88,0.00,0.03,-4.75,0.00,-0.12,-1.92,
11.89,0.00,0.03,-4.75,0.00,-0.12,-1.92,
11.90,0.00,0.03,-4.75,0.00,-0.12,-1.92,
11.90,0.00,0.03,-4.75,0.00,-0.12,-1.92,
11.91,0.00,0.03,-4.75,0.00,-0.12,-1.92,
11.93,0.00,0.03,-4.75,0.00,-0.12,-1.92,
11.94,0.00,0.03,-4.75,0.00,-0.12,-1.92,
11.94,0.00,0.03,-4.75,0.00,-0.12,-1.93,
11.95,0.00,0.03,-4.75,0.00,-0.12,-1.93,
11.97,0.00,0.03,-4.75,0.00,-0.12,-1.93,
11.98,0.00,0.03,-4.75,0.00,-0.12,-1.93,
11.98,0.00,0.03,-4.75,0.00,-0.12,-1.93,
11.99,0.00,0.03,-4.75,0.00,-0.12,-1.93,
12.01,0.00,0.03,-4.75,0.00,-0.12,-1.93,
12.02,0.00,0.03,-4.76,0.00,-0.12,-1.93,
12.02,0.00,0.03,-4.76,0.00,-0.12,-1.93,
12.03,0.00,0.03,-4.76,0.00,-0.12,-1.93,
12.05,0.00,0.03,-4.76,0.00,-0.12,-1.93,
12.06,0.00,0.03,-4.76,0.00,-0.12,-1.93,
12.06,0.00,0.03,-4.76,0.00,-0.12,-1.93,
12.07,0.00,0.03,-4.76,0.00,-0.12,-1.93,
12.09,0.00,0.03,-4.76,0.00,-0.12,-1.93,
12.10,0.00,0.03,-4.76,0.00,-0.12,-1.93,
12.10,0.00,0.03,-4.76,0.00,-0.12,-1.93,
12.11,0.00,0.03,-4.76,0.00,-0.12,-1.93,
12.12,0.00,0.03,-4.76,0.00,-0.12,-1.93,
12.14,0.00,0.03,-4.76,0.00,-0.12,-1.93,
12.15,0.00,0.03,-4.76,0.00,-0.12,-1.93,
12.15,0.00,0.03,-4.76,0.00,-0.12,-1.93,
12.17,0.00,0.03,-4.76,0.00,-0.12,-1.93,
12.18,0.00,0.03,-4.76,0.00,-0.12,-1.93,
12.19,0.00,0.03,-4.76,0.00,-0.12,-1.93,
12.20,0.00,0.03,-4.76,0.00,-0.12,-1.93,
12.20,0.00,0.02,-4.76,0.00,-0.12,-1.93,
12.22,0.00,0.02,-4.76,0.00,-0.12,-1.93,
12.23,0.00,0.02,-4.76,0.00,-0.12,-1.93,
12.23,0.00,0.02,-4.76,0.00,-0.12,-1.93,
12.24,0.00,0.02,-4.76,0.00,-0.12,-1.93,
12.26,0.00,0.02,-4.76,0.00,-0.12,-1.93,
12.27,0.00,0.02,-4.76,0.00,-0.12,-1.93,
12.27,0.00,0.02,-4.76,0.00,-0.12,-1.93,
12.28,0.00,0.02,-4.76,0.00,-0.12,-1.93,
12.30,0.00,0.02,-4.76,0.00,-0.12,-1.93,
12.31,0.00,0.02,-4.76,0.00,-0.12,-1.93,
12.31,0.00,0.02,-4.76,0.00,-0.12,-1.93,
12.33,0.00,0.02,-4.76,0.00,-0.12,-1.93,
12.34,0.00,0.02,-4.76,0.00,-0.12,-1.92,
12.35,0.00,0.02,-4.76,0.00,-0.12,-1.92,
12.36,0.00,0.02,-4.76,0.00,-0.12,-1.92,
12.37,0.00,0.02,-4.76,0.00,-0.12,-1.92,
12.38,0.00,0.02,-4.76,0.00,-0.12,-1.92,
12.39,0.00,0.02,-4.76,0.00,-0.12,-1.92,
12.40,0.00,0.02,-4.76,0.00,-0.12,-1.92,
12.41,0.00,0.02,-4.76,0.00,-0.12,-1.92,
12.42,0.00,0.02,-4.76,0.00,-0.12,-1.92,
12.43,0.00,0.02,-4.76,0.00,-0.12,-1.92,
12.44,0.00,0.02,-4.76,0.00,-0.12,-1.92,
12.45,0.00,0.02,-4.76,0.00,-0.12,-1.92,
12.46,0.00,0.02,-4.76,0.00,-0.12,-1.92,
12.47,0.00,0.02,-4.76,0.00,-0.12,-1.92,
12.48,0.00,0.02,-4.76,0.00,-0.12,-1.92,
12.49,0.00,0.02,-4.76,0.00,-0.12,-1.92,
12.50,0.00,0.02,-4.76,0.00,-0.12,-1.92,
12.51,0.00,0.02,-4.76,0.00,-0.12,-1.92,
12.52,0.00,0.02,-4.76,0.00,-0.12,-1.92,
12.53,0.00,0.02,-4.76,0.00,-0.12,-1.92,
12.54,0.00,0.02,-4.76,0.00,-0.12,-1.92,
12.55,0.00,0.02,-4.76,0.00,-0.12,-1.92,
12.56,0.00,0.02,-4.76,0.00,-0.12,-1.92,
12.57,0.00,0.02,-4.76,0.00,-0.12,-1.92,
12.58,0.00,0.02,-4.76,0.00,-0.12,-1.92,
12.59,0.00,0.02,-4.76,0.00,-0.12,-1.92,
12.60,0.00,0.02,-4.76,0.00,-0.12,-1.92,
